Prompt_ID,AI_Role,Task,Context,Constraint,Output_Format,Goal,Recommended_AI,Generated_Prompt,Timestamp
PW00323,Expert Data Scientist,Hyperparameter Tuning,SVM optimization,Use tables for comparison,Bullet Points,Solve a Business Problem,ChatGPT,"You are an Expert Data Scientist.

Task:
Hyperparameter Tuning

Context:
SVM optimization

Constraints:
Use tables for comparison

Output Format:
Bullet Points

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00324,Senior Machine Learning Engineer,Deploy ML Model,General Professional Scenario,Explain assumptions,Bullet Points,Prepare for Interview,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Deploy ML Model

Context:
General Professional Scenario

Constraints:
Explain assumptions

Output Format:
Bullet Points

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00325,Data Analyst,Generate Reports,General Professional Scenario,Use TensorFlow,Bullet Points,Presentation Preparation,Gamma,"You are an Data Analyst.

Task:
Generate Reports

Context:
General Professional Scenario

Constraints:
Use TensorFlow

Output Format:
Bullet Points

Goal:
Presentation Preparation",2026-07-04 21:56:20
PW00326,Research Scientist,Compare Research Papers,General Professional Scenario,Use TensorFlow,Technical Report,Solve a Business Problem,Claude,"You are an Research Scientist.

Task:
Compare Research Papers

Context:
General Professional Scenario

Constraints:
Use TensorFlow

Output Format:
Technical Report

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00327,Expert Data Scientist,Evaluate Model Performance,Classification metrics evaluation,Return valid JSON,Executive Summary,Decision Making,ChatGPT,"You are an Expert Data Scientist.

Task:
Evaluate Model Performance

Context:
Classification metrics evaluation

Constraints:
Return valid JSON

Output Format:
Executive Summary

Goal:
Decision Making",2026-07-04 21:56:20
PW00328,Cloud Solutions Architect,Azure Architecture,General Professional Scenario,Return the output in Markdown,Table,Learn a Concept,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Azure Architecture

Context:
General Professional Scenario

Constraints:
Return the output in Markdown

Output Format:
Table

Goal:
Learn a Concept",2026-07-04 21:56:20
PW00329,Cloud Solutions Architect,Cloud Security,General Professional Scenario,Include visualization suggestions,Python Code,Automation,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Cloud Security

Context:
General Professional Scenario

Constraints:
Include visualization suggestions

Output Format:
Python Code

Goal:
Automation",2026-07-04 21:56:20
PW00330,Research Scientist,Research Proposal,General Professional Scenario,Use Random Forest algorithm,PowerPoint Outline,Learn a Concept,Claude,"You are an Research Scientist.

Task:
Research Proposal

Context:
General Professional Scenario

Constraints:
Use Random Forest algorithm

Output Format:
PowerPoint Outline

Goal:
Learn a Concept",2026-07-04 21:56:20
PW00331,Senior Software Engineer,Fix Bugs,General Professional Scenario,Return the output in Markdown,CSV,Academic Research,Perplexity,"You are an Senior Software Engineer.

Task:
Fix Bugs

Context:
General Professional Scenario

Constraints:
Return the output in Markdown

Output Format:
CSV

Goal:
Academic Research",2026-07-04 21:56:20
PW00332,Cybersecurity Specialist,Vulnerability Analysis,General Professional Scenario,Use tables for comparison,Technical Report,Academic Research,Perplexity,"You are an Cybersecurity Specialist.

Task:
Vulnerability Analysis

Context:
General Professional Scenario

Constraints:
Use tables for comparison

Output Format:
Technical Report

Goal:
Academic Research",2026-07-04 21:56:20
PW00333,Senior Machine Learning Engineer,Model Monitoring,General Professional Scenario,Use PyTorch,Python Code,Solve a Business Problem,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Model Monitoring

Context:
General Professional Scenario

Constraints:
Use PyTorch

Output Format:
Python Code

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00334,Cybersecurity Specialist,Security Best Practices,General Professional Scenario,Use Scikit-learn,Bullet Points,Learn a Concept,ChatGPT,"You are an Cybersecurity Specialist.

Task:
Security Best Practices

Context:
General Professional Scenario

Constraints:
Use Scikit-learn

Output Format:
Bullet Points

Goal:
Learn a Concept",2026-07-04 21:56:20
PW00335,Cybersecurity Specialist,Penetration Testing,General Professional Scenario,Use TensorFlow,Bullet Points,Academic Research,Perplexity,"You are an Cybersecurity Specialist.

Task:
Penetration Testing

Context:
General Professional Scenario

Constraints:
Use TensorFlow

Output Format:
Bullet Points

Goal:
Academic Research",2026-07-04 21:56:20
PW00336,DevOps Engineer,CI/CD Pipeline,General Professional Scenario,Keep the response under 500 words,Python Code,Assignment Submission,ChatGPT,"You are an DevOps Engineer.

Task:
CI/CD Pipeline

Context:
General Professional Scenario

Constraints:
Keep the response under 500 words

Output Format:
Python Code

Goal:
Assignment Submission",2026-07-04 21:56:20
PW00337,Cloud Solutions Architect,Cloud Security,General Professional Scenario,Provide real-world examples,Java Code,Build a Project,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Cloud Security

Context:
General Professional Scenario

Constraints:
Provide real-world examples

Output Format:
Java Code

Goal:
Build a Project",2026-07-04 21:56:20
PW00338,Cybersecurity Specialist,Compliance Review,General Professional Scenario,Use TensorFlow,Python Code,Academic Research,Perplexity,"You are an Cybersecurity Specialist.

Task:
Compliance Review

Context:
General Professional Scenario

Constraints:
Use TensorFlow

Output Format:
Python Code

Goal:
Academic Research",2026-07-04 21:56:20
PW00339,Expert Data Scientist,Analyze Dataset,Telecom customer dataset,Include best practices,Technical Report,Academic Research,Perplexity,"You are an Expert Data Scientist.

Task:
Analyze Dataset

Context:
Telecom customer dataset

Constraints:
Include best practices

Output Format:
Technical Report

Goal:
Academic Research",2026-07-04 21:56:20
PW00340,Business Analyst,Process Optimization,General Professional Scenario,Follow industry standards,HTML,Build a Project,ChatGPT,"You are an Business Analyst.

Task:
Process Optimization

Context:
General Professional Scenario

Constraints:
Follow industry standards

Output Format:
HTML

Goal:
Build a Project",2026-07-04 21:56:20
PW00341,Senior Machine Learning Engineer,Compare Algorithms,General Professional Scenario,Use tables for comparison,JSON,Decision Making,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Compare Algorithms

Context:
General Professional Scenario

Constraints:
Use tables for comparison

Output Format:
JSON

Goal:
Decision Making",2026-07-04 21:56:20
PW00342,Expert Data Scientist,Predict Outcomes,Employee promotion prediction,Follow industry standards,Table,Decision Making,ChatGPT,"You are an Expert Data Scientist.

Task:
Predict Outcomes

Context:
Employee promotion prediction

Constraints:
Follow industry standards

Output Format:
Table

Goal:
Decision Making",2026-07-04 21:56:20
PW00343,Business Analyst,SWOT Analysis,General Professional Scenario,Use bullet points wherever possible,Table,Solve a Business Problem,ChatGPT,"You are an Business Analyst.

Task:
SWOT Analysis

Context:
General Professional Scenario

Constraints:
Use bullet points wherever possible

Output Format:
Table

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00344,Business Analyst,Market Analysis,General Professional Scenario,Use Scikit-learn,Markdown,Solve a Business Problem,ChatGPT,"You are an Business Analyst.

Task:
Market Analysis

Context:
General Professional Scenario

Constraints:
Use Scikit-learn

Output Format:
Markdown

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00345,Expert Data Scientist,Analyze Dataset,Hospital patient records,Return the output in Markdown,Technical Report,Automation,ChatGPT,"You are an Expert Data Scientist.

Task:
Analyze Dataset

Context:
Hospital patient records

Constraints:
Return the output in Markdown

Output Format:
Technical Report

Goal:
Automation",2026-07-04 21:56:20
PW00346,Senior Machine Learning Engineer,Deploy ML Model,General Professional Scenario,Optimize for readability,Bullet Points,Learn a Concept,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Deploy ML Model

Context:
General Professional Scenario

Constraints:
Optimize for readability

Output Format:
Bullet Points

Goal:
Learn a Concept",2026-07-04 21:56:20
PW00347,Cybersecurity Specialist,Threat Modeling,General Professional Scenario,Do not use Deep Learning,Java Code,Build a Project,ChatGPT,"You are an Cybersecurity Specialist.

Task:
Threat Modeling

Context:
General Professional Scenario

Constraints:
Do not use Deep Learning

Output Format:
Java Code

Goal:
Build a Project",2026-07-04 21:56:20
PW00348,Cloud Solutions Architect,Cloud Security,General Professional Scenario,Keep the response under 500 words,JSON,Automation,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Cloud Security

Context:
General Professional Scenario

Constraints:
Keep the response under 500 words

Output Format:
JSON

Goal:
Automation",2026-07-04 21:56:20
PW00349,Research Scientist,Literature Review,General Professional Scenario,Use beginner-friendly language,JSON,Build a Project,Claude,"You are an Research Scientist.

Task:
Literature Review

Context:
General Professional Scenario

Constraints:
Use beginner-friendly language

Output Format:
JSON

Goal:
Build a Project",2026-07-04 21:56:20
PW00350,Software Architect,Scalability Planning,General Professional Scenario,Follow industry standards,CSV,Academic Research,Perplexity,"You are an Software Architect.

Task:
Scalability Planning

Context:
General Professional Scenario

Constraints:
Follow industry standards

Output Format:
CSV

Goal:
Academic Research",2026-07-04 21:56:20
PW00351,Cybersecurity Specialist,Compliance Review,General Professional Scenario,Follow industry standards,Java Code,Prepare for Interview,ChatGPT,"You are an Cybersecurity Specialist.

Task:
Compliance Review

Context:
General Professional Scenario

Constraints:
Follow industry standards

Output Format:
Java Code

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00352,Research Scientist,Research Methodology,General Professional Scenario,Provide real-world examples,CSV,Portfolio Development,Claude,"You are an Research Scientist.

Task:
Research Methodology

Context:
General Professional Scenario

Constraints:
Provide real-world examples

Output Format:
CSV

Goal:
Portfolio Development",2026-07-04 21:56:20
PW00353,Expert Data Scientist,Perform Exploratory Data Analysis,Customer churn dataset,Return valid JSON,Executive Summary,Solve a Business Problem,ChatGPT,"You are an Expert Data Scientist.

Task:
Perform Exploratory Data Analysis

Context:
Customer churn dataset

Constraints:
Return valid JSON

Output Format:
Executive Summary

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00354,Senior Machine Learning Engineer,Tune Hyperparameters,General Professional Scenario,Use Random Forest algorithm,Technical Report,Decision Making,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Tune Hyperparameters

Context:
General Professional Scenario

Constraints:
Use Random Forest algorithm

Output Format:
Technical Report

Goal:
Decision Making",2026-07-04 21:56:20
PW00355,Business Analyst,Process Optimization,General Professional Scenario,Use bullet points wherever possible,Java Code,Build a Project,ChatGPT,"You are an Business Analyst.

Task:
Process Optimization

Context:
General Professional Scenario

Constraints:
Use bullet points wherever possible

Output Format:
Java Code

Goal:
Build a Project",2026-07-04 21:56:20
PW00356,Expert Data Scientist,Feature Engineering,Student performance dataset,Return valid JSON,HTML,Portfolio Development,ChatGPT,"You are an Expert Data Scientist.

Task:
Feature Engineering

Context:
Student performance dataset

Constraints:
Return valid JSON

Output Format:
HTML

Goal:
Portfolio Development",2026-07-04 21:56:20
PW00357,DevOps Engineer,Monitoring,General Professional Scenario,Use beginner-friendly language,Markdown,Automation,ChatGPT,"You are an DevOps Engineer.

Task:
Monitoring

Context:
General Professional Scenario

Constraints:
Use beginner-friendly language

Output Format:
Markdown

Goal:
Automation",2026-07-04 21:56:20
PW00358,Cybersecurity Specialist,Compliance Review,General Professional Scenario,Include visualization suggestions,Python Code,Academic Research,Perplexity,"You are an Cybersecurity Specialist.

Task:
Compliance Review

Context:
General Professional Scenario

Constraints:
Include visualization suggestions

Output Format:
Python Code

Goal:
Academic Research",2026-07-04 21:56:20
PW00359,Expert Data Scientist,Hyperparameter Tuning,SVM optimization,Include visualization suggestions,Executive Summary,Solve a Business Problem,ChatGPT,"You are an Expert Data Scientist.

Task:
Hyperparameter Tuning

Context:
SVM optimization

Constraints:
Include visualization suggestions

Output Format:
Executive Summary

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00360,Expert Data Scientist,Hyperparameter Tuning,Random Forest optimization,Provide code comments,Markdown,Decision Making,ChatGPT,"You are an Expert Data Scientist.

Task:
Hyperparameter Tuning

Context:
Random Forest optimization

Constraints:
Provide code comments

Output Format:
Markdown

Goal:
Decision Making",2026-07-04 21:56:20
PW00361,Senior Machine Learning Engineer,Tune Hyperparameters,General Professional Scenario,Include edge cases,Python Code,Automation,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Tune Hyperparameters

Context:
General Professional Scenario

Constraints:
Include edge cases

Output Format:
Python Code

Goal:
Automation",2026-07-04 21:56:20
PW00362,Software Architect,System Optimization,General Professional Scenario,Include best practices,PowerPoint Outline,Decision Making,ChatGPT,"You are an Software Architect.

Task:
System Optimization

Context:
General Professional Scenario

Constraints:
Include best practices

Output Format:
PowerPoint Outline

Goal:
Decision Making",2026-07-04 21:56:20
PW00363,Senior Software Engineer,Optimize Algorithm,General Professional Scenario,Explain step-by-step,HTML,Prepare for Interview,ChatGPT,"You are an Senior Software Engineer.

Task:
Optimize Algorithm

Context:
General Professional Scenario

Constraints:
Explain step-by-step

Output Format:
HTML

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00364,DevOps Engineer,Infrastructure Automation,General Professional Scenario,Include best practices,Table,Assignment Submission,ChatGPT,"You are an DevOps Engineer.

Task:
Infrastructure Automation

Context:
General Professional Scenario

Constraints:
Include best practices

Output Format:
Table

Goal:
Assignment Submission",2026-07-04 21:56:20
PW00365,Data Analyst,Create Visualizations,General Professional Scenario,Use TensorFlow,JSON,Academic Research,Perplexity,"You are an Data Analyst.

Task:
Create Visualizations

Context:
General Professional Scenario

Constraints:
Use TensorFlow

Output Format:
JSON

Goal:
Academic Research",2026-07-04 21:56:20
PW00366,DevOps Engineer,Logging,General Professional Scenario,Return the output in Markdown,JSON,Build a Project,ChatGPT,"You are an DevOps Engineer.

Task:
Logging

Context:
General Professional Scenario

Constraints:
Return the output in Markdown

Output Format:
JSON

Goal:
Build a Project",2026-07-04 21:56:20
PW00367,Cloud Solutions Architect,Cloud Migration,General Professional Scenario,Use Random Forest algorithm,CSV,Presentation Preparation,Gamma,"You are an Cloud Solutions Architect.

Task:
Cloud Migration

Context:
General Professional Scenario

Constraints:
Use Random Forest algorithm

Output Format:
CSV

Goal:
Presentation Preparation",2026-07-04 21:56:20
PW00368,Senior Machine Learning Engineer,Optimize ML Model,General Professional Scenario,Avoid technical jargon,Table,Presentation Preparation,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Optimize ML Model

Context:
General Professional Scenario

Constraints:
Avoid technical jargon

Output Format:
Table

Goal:
Presentation Preparation",2026-07-04 21:56:20
PW00369,Software Architect,Cloud Architecture,General Professional Scenario,Provide real-world examples,JSON,Academic Research,Perplexity,"You are an Software Architect.

Task:
Cloud Architecture

Context:
General Professional Scenario

Constraints:
Provide real-world examples

Output Format:
JSON

Goal:
Academic Research",2026-07-04 21:56:20
PW00370,Data Analyst,SQL Analysis,General Professional Scenario,Optimize for readability,JSON,Presentation Preparation,Gamma,"You are an Data Analyst.

Task:
SQL Analysis

Context:
General Professional Scenario

Constraints:
Optimize for readability

Output Format:
JSON

Goal:
Presentation Preparation",2026-07-04 21:56:20
PW00371,Expert Data Scientist,Explain Insights,Financial performance analysis,Use Java only,Executive Summary,Academic Research,Perplexity,"You are an Expert Data Scientist.

Task:
Explain Insights

Context:
Financial performance analysis

Constraints:
Use Java only

Output Format:
Executive Summary

Goal:
Academic Research",2026-07-04 21:56:20
PW00372,Cloud Solutions Architect,Cloud Security,General Professional Scenario,Include visualization suggestions,Markdown,Prepare for Interview,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Cloud Security

Context:
General Professional Scenario

Constraints:
Include visualization suggestions

Output Format:
Markdown

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00373,Software Architect,API Design,General Professional Scenario,Use Scikit-learn,PowerPoint Outline,Solve a Business Problem,ChatGPT,"You are an Software Architect.

Task:
API Design

Context:
General Professional Scenario

Constraints:
Use Scikit-learn

Output Format:
PowerPoint Outline

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00374,Expert Data Scientist,Build Machine Learning Model,Spam email detection,Explain assumptions,Executive Summary,Learn a Concept,ChatGPT,"You are an Expert Data Scientist.

Task:
Build Machine Learning Model

Context:
Spam email detection

Constraints:
Explain assumptions

Output Format:
Executive Summary

Goal:
Learn a Concept",2026-07-04 21:56:20
PW00375,Cybersecurity Specialist,Risk Mitigation,General Professional Scenario,Use Scikit-learn,Executive Summary,Solve a Business Problem,ChatGPT,"You are an Cybersecurity Specialist.

Task:
Risk Mitigation

Context:
General Professional Scenario

Constraints:
Use Scikit-learn

Output Format:
Executive Summary

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00376,Cloud Solutions Architect,Serverless Design,General Professional Scenario,Return the output in Markdown,Python Code,Solve a Business Problem,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Serverless Design

Context:
General Professional Scenario

Constraints:
Return the output in Markdown

Output Format:
Python Code

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00377,Expert Data Scientist,Feature Engineering,Student performance dataset,Provide code comments,JSON,Decision Making,ChatGPT,"You are an Expert Data Scientist.

Task:
Feature Engineering

Context:
Student performance dataset

Constraints:
Provide code comments

Output Format:
JSON

Goal:
Decision Making",2026-07-04 21:56:20
PW00378,Senior Machine Learning Engineer,Explain ML Workflow,General Professional Scenario,Include edge cases,PowerPoint Outline,Decision Making,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Explain ML Workflow

Context:
General Professional Scenario

Constraints:
Include edge cases

Output Format:
PowerPoint Outline

Goal:
Decision Making",2026-07-04 21:56:20
PW00379,Expert Data Scientist,Hyperparameter Tuning,Decision Tree tuning,Provide real-world examples,Executive Summary,Build a Project,ChatGPT,"You are an Expert Data Scientist.

Task:
Hyperparameter Tuning

Context:
Decision Tree tuning

Constraints:
Provide real-world examples

Output Format:
Executive Summary

Goal:
Build a Project",2026-07-04 21:56:20
PW00380,Business Analyst,Decision Support,General Professional Scenario,Focus on practical implementation,JSON,Academic Research,Perplexity,"You are an Business Analyst.

Task:
Decision Support

Context:
General Professional Scenario

Constraints:
Focus on practical implementation

Output Format:
JSON

Goal:
Academic Research",2026-07-04 21:56:20
PW00381,Expert Data Scientist,Hyperparameter Tuning,Decision Tree tuning,Keep the response under 500 words,JSON,Learn a Concept,ChatGPT,"You are an Expert Data Scientist.

Task:
Hyperparameter Tuning

Context:
Decision Tree tuning

Constraints:
Keep the response under 500 words

Output Format:
JSON

Goal:
Learn a Concept",2026-07-04 21:56:20
PW00382,Business Analyst,Business Documentation,General Professional Scenario,Avoid technical jargon,Table,Automation,NotebookLM,"You are an Business Analyst.

Task:
Business Documentation

Context:
General Professional Scenario

Constraints:
Avoid technical jargon

Output Format:
Table

Goal:
Automation",2026-07-04 21:56:20
PW00383,Business Analyst,Business Requirement Analysis,General Professional Scenario,Provide evaluation metrics,CSV,Portfolio Development,ChatGPT,"You are an Business Analyst.

Task:
Business Requirement Analysis

Context:
General Professional Scenario

Constraints:
Provide evaluation metrics

Output Format:
CSV

Goal:
Portfolio Development",2026-07-04 21:56:20
PW00384,DevOps Engineer,Logging,General Professional Scenario,Return valid JSON,Table,Portfolio Development,ChatGPT,"You are an DevOps Engineer.

Task:
Logging

Context:
General Professional Scenario

Constraints:
Return valid JSON

Output Format:
Table

Goal:
Portfolio Development",2026-07-04 21:56:20
PW00385,Cloud Solutions Architect,Cost Optimization,General Professional Scenario,Use Java only,Java Code,Prepare for Interview,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Cost Optimization

Context:
General Professional Scenario

Constraints:
Use Java only

Output Format:
Java Code

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00386,Senior Machine Learning Engineer,Compare Algorithms,General Professional Scenario,Include best practices,Technical Report,Automation,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Compare Algorithms

Context:
General Professional Scenario

Constraints:
Include best practices

Output Format:
Technical Report

Goal:
Automation",2026-07-04 21:56:20
PW00387,Senior Machine Learning Engineer,Optimize ML Model,General Professional Scenario,Include visualization suggestions,HTML,Portfolio Development,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Optimize ML Model

Context:
General Professional Scenario

Constraints:
Include visualization suggestions

Output Format:
HTML

Goal:
Portfolio Development",2026-07-04 21:56:20
PW00388,Cloud Solutions Architect,Cloud Security,General Professional Scenario,Use Java only,Bullet Points,Decision Making,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Cloud Security

Context:
General Professional Scenario

Constraints:
Use Java only

Output Format:
Bullet Points

Goal:
Decision Making",2026-07-04 21:56:20
PW00389,Senior Machine Learning Engineer,Tune Hyperparameters,General Professional Scenario,Use Java only,PowerPoint Outline,Prepare for Interview,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Tune Hyperparameters

Context:
General Professional Scenario

Constraints:
Use Java only

Output Format:
PowerPoint Outline

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00390,Data Analyst,Create Visualizations,General Professional Scenario,Do not use Deep Learning,Java Code,Automation,ChatGPT,"You are an Data Analyst.

Task:
Create Visualizations

Context:
General Professional Scenario

Constraints:
Do not use Deep Learning

Output Format:
Java Code

Goal:
Automation",2026-07-04 21:56:20
PW00391,Cloud Solutions Architect,Cloud Migration,General Professional Scenario,Use bullet points wherever possible,Python Code,Academic Research,Perplexity,"You are an Cloud Solutions Architect.

Task:
Cloud Migration

Context:
General Professional Scenario

Constraints:
Use bullet points wherever possible

Output Format:
Python Code

Goal:
Academic Research",2026-07-04 21:56:20
PW00392,Expert Data Scientist,Predict Outcomes,Employee promotion prediction,Use bullet points wherever possible,HTML,Solve a Business Problem,ChatGPT,"You are an Expert Data Scientist.

Task:
Predict Outcomes

Context:
Employee promotion prediction

Constraints:
Use bullet points wherever possible

Output Format:
HTML

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00393,Senior Software Engineer,Debug Code,General Professional Scenario,Use bullet points wherever possible,CSV,Assignment Submission,ChatGPT,"You are an Senior Software Engineer.

Task:
Debug Code

Context:
General Professional Scenario

Constraints:
Use bullet points wherever possible

Output Format:
CSV

Goal:
Assignment Submission",2026-07-04 21:56:20
PW00394,Research Scientist,Compare Research Papers,General Professional Scenario,Use tables for comparison,Python Code,Assignment Submission,Claude,"You are an Research Scientist.

Task:
Compare Research Papers

Context:
General Professional Scenario

Constraints:
Use tables for comparison

Output Format:
Python Code

Goal:
Assignment Submission",2026-07-04 21:56:20
PW00395,Research Scientist,Research Methodology,General Professional Scenario,Keep the response under 500 words,Python Code,Build a Project,Claude,"You are an Research Scientist.

Task:
Research Methodology

Context:
General Professional Scenario

Constraints:
Keep the response under 500 words

Output Format:
Python Code

Goal:
Build a Project",2026-07-04 21:56:20
PW00396,Cloud Solutions Architect,Cloud Security,General Professional Scenario,Provide real-world examples,HTML,Academic Research,Perplexity,"You are an Cloud Solutions Architect.

Task:
Cloud Security

Context:
General Professional Scenario

Constraints:
Provide real-world examples

Output Format:
HTML

Goal:
Academic Research",2026-07-04 21:56:20
PW00397,Cybersecurity Specialist,Compliance Review,General Professional Scenario,Use Random Forest algorithm,Java Code,Solve a Business Problem,ChatGPT,"You are an Cybersecurity Specialist.

Task:
Compliance Review

Context:
General Professional Scenario

Constraints:
Use Random Forest algorithm

Output Format:
Java Code

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00398,Cloud Solutions Architect,Cloud Security,General Professional Scenario,Use beginner-friendly language,Bullet Points,Prepare for Interview,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Cloud Security

Context:
General Professional Scenario

Constraints:
Use beginner-friendly language

Output Format:
Bullet Points

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00399,Expert Data Scientist,Feature Engineering,Product recommendation dataset,Use bullet points wherever possible,HTML,Academic Research,Perplexity,"You are an Expert Data Scientist.

Task:
Feature Engineering

Context:
Product recommendation dataset

Constraints:
Use bullet points wherever possible

Output Format:
HTML

Goal:
Academic Research",2026-07-04 21:56:20
PW00400,Expert Data Scientist,Perform Exploratory Data Analysis,House price prediction dataset,Provide code comments,Table,Automation,ChatGPT,"You are an Expert Data Scientist.

Task:
Perform Exploratory Data Analysis

Context:
House price prediction dataset

Constraints:
Provide code comments

Output Format:
Table

Goal:
Automation",2026-07-04 21:56:20
PW00401,Data Analyst,Generate Dashboard,General Professional Scenario,Use bullet points wherever possible,Table,Prepare for Interview,ChatGPT,"You are an Data Analyst.

Task:
Generate Dashboard

Context:
General Professional Scenario

Constraints:
Use bullet points wherever possible

Output Format:
Table

Goal:
Prepare for Interview",2026-07-04 21:56:20
PW00402,Senior Software Engineer,Refactor Code,General Professional Scenario,Follow industry standards,Technical Report,Academic Research,ChatGPT,"You are an Senior Software Engineer.

Task:
Refactor Code

Context:
General Professional Scenario

Constraints:
Follow industry standards

Output Format:
Technical Report

Goal:
Academic Research",2026-07-04 21:56:20
PW00403,DevOps Engineer,Cloud Deployment,General Professional Scenario,Avoid technical jargon,Table,Assignment Submission,ChatGPT,"You are an DevOps Engineer.

Task:
Cloud Deployment

Context:
General Professional Scenario

Constraints:
Avoid technical jargon

Output Format:
Table

Goal:
Assignment Submission",2026-07-04 21:56:20
PW00404,Business Analyst,Process Optimization,General Professional Scenario,Use TensorFlow,PowerPoint Outline,Solve a Business Problem,ChatGPT,"You are an Business Analyst.

Task:
Process Optimization

Context:
General Professional Scenario

Constraints:
Use TensorFlow

Output Format:
PowerPoint Outline

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00405,Senior Machine Learning Engineer,Explain ML Workflow,General Professional Scenario,Use Java only,PowerPoint Outline,Assignment Submission,ChatGPT,"You are an Senior Machine Learning Engineer.

Task:
Explain ML Workflow

Context:
General Professional Scenario

Constraints:
Use Java only

Output Format:
PowerPoint Outline

Goal:
Assignment Submission",2026-07-04 21:56:20
PW00406,Expert Data Scientist,Hyperparameter Tuning,Random Forest optimization,Use Java only,JSON,Portfolio Development,ChatGPT,"You are an Expert Data Scientist.

Task:
Hyperparameter Tuning

Context:
Random Forest optimization

Constraints:
Use Java only

Output Format:
JSON

Goal:
Portfolio Development",2026-07-04 21:56:20
PW00407,Cloud Solutions Architect,Cloud Migration,General Professional Scenario,Provide code comments,CSV,Automation,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Cloud Migration

Context:
General Professional Scenario

Constraints:
Provide code comments

Output Format:
CSV

Goal:
Automation",2026-07-04 21:56:20
PW00408,Expert Data Scientist,Explain Insights,Marketing campaign analysis,Use Scikit-learn,PowerPoint Outline,Academic Research,Perplexity,"You are an Expert Data Scientist.

Task:
Explain Insights

Context:
Marketing campaign analysis

Constraints:
Use Scikit-learn

Output Format:
PowerPoint Outline

Goal:
Academic Research",2026-07-04 21:56:20
PW00409,Expert Data Scientist,Build Machine Learning Model,Skin care recommendation system,Use Scikit-learn,Technical Report,Solve a Business Problem,ChatGPT,"You are an Expert Data Scientist.

Task:
Build Machine Learning Model

Context:
Skin care recommendation system

Constraints:
Use Scikit-learn

Output Format:
Technical Report

Goal:
Solve a Business Problem",2026-07-04 21:56:20
PW00410,Cloud Solutions Architect,Design Cloud Infrastructure,General Professional Scenario,Provide evaluation metrics,Bullet Points,Decision Making,ChatGPT,"You are an Cloud Solutions Architect.

Task:
Design Cloud Infrastructure

Context:
General Professional Scenario

Constraints:
Provide evaluation metrics

Output Format:
Bullet Points

Goal:
Decision Making",2026-07-04 21:56:20
PW00411,Software Architect,System Optimization,General Professional Scenario,Provide real-world examples,CSV,Automation,ChatGPT,"You are an Software Architect.

Task:
System Optimization

Context:
General Professional Scenario

Constraints:
Provide real-world examples

Output Format:
CSV

Goal:
Automation",2026-07-04 21:56:20
PW00412,DevOps Engineer,Kubernetes Deployment,General Professional Scenario,Return the output in Markdown,Python Code,Decision Making,ChatGPT,"You are an DevOps Engineer.

Task:
Kubernetes Deployment

Context:
General Professional Scenario

Constraints:
Return the output in Markdown

Output Format:
Python Code

Goal:
Decision Making",2026-07-04 21:56:20
PW00413,Research Scientist,Research Proposal,General Professional Scenario,Include best practices,Table,Automation,Claude,"You are an Research Scientist.

Task:
Research Proposal

Context:
General Professional Scenario

Constraints:
Include best practices

Output Format:
Table

Goal:
Automation",2026-07-04 21:56:20
